KFIV-AM,MF 9a-12n
KNCO-AM,MF 9a-12n
KVML-AM,MF 9a-12n
KWSX-AM,MF 9a-12n
KMOX-AM,MF 11a-2p
KREI-AM,MF 11a-2p
KTTR-FM,MF 11a-2p
KACI-AM,MF 9a-12n
KAST-AM,MF 9a-12n
KBKR-AM,MF 9a-12n
KEDO-AM,MF 9a-12n
KEX-AM,MF 9a-12n
KLBM-AM,MF 9a-12n
KYKN-AM,MF 9a-12n
WAJR-AM,MF 12n-3p
WFRA-AM,MF 12n-3p
WPGB-FM,MF 12n-3p
WEEB-AM,MF 12n-3p
WFNC-AM,MF 12n-3p
WGBR-AM,MF 12n-3p
WTKK-FM,MF 12n-3p
WBT-AM,MF 12n-3p
WBT-FM,MF 12n-3p
WHKY-AM,MF 12n-3p
WSIC-AM,MF 12n-3p
WSPC-AM,MF 12n-3p
WXIT-AM,MF 12n-3p
WBIW-AM,MF 12n-3p
WCSI-AM,MF 12n-3p
WGCL-AM,MF 12n-3p
WHBU-AM,MF 12n-3p
WIBC-FM,MF 12n-3p
WCBM-AM,MF 12n-3p
KOGO-AM,MF 9a-12n
WHOP-AM,MF 11a-2p
WHUB-AM,MF 11a-2p
WKRM-AM,MF 11a-2p
WLAC-AM,MF 11a-2p
WELI-AM,MF 12n-3p
WTIC-AM,MF 12n-3p
WXLM-AM,MF 12n-3p
KMBZ-AM,MF 11a-2p
KMBZ-FM,MF 11a-2p
KSIS-AM,MF 11a-2p
WBEX-AM,MF 12n-3p
WMAN-FM,MF 12n-3p
WMRN-AM,MF 12n-3p
WTVN-AM,MF 12n-3p
KDXU-AM,MF 10a-1p
KMXD-FM,MF 10a-1p
KNRS-AM,MF 10a-1p
KNRS-FM,MF 10a-1p
KOAL-AM,MF 10a-1p
KRKK-AM,MF 10a-1p
KSUB-AM,MF 10a-1p
KSVC-AM,MF 10a-1p
KVEL-AM,MF 10a-1p
KVNU-AM,MF 10a-1p
KZBI-FM,MF 9a-12n
WHBL-AM,MF 11a-2p
WISN-AM,MF 12n-3p
WKRC-AM,MF 12n-3p
KERV-AM,MF 11a-2p
WOAI-AM,MF 11a-2p
WAIM-AM,MF 12n-3p
WCAB-AM,MF 12n-3p
WCRS-AM,MF 12n-3p
WHKP-AM,MF 12n-3p
WMXF-AM,MF 12n-3p
WWNC-AM,MF 12n-3p
WYRD-FM,MF 12n-3p
WJNO-AM,MF 12n-3p
WPSL-AM,MF 12n-3p
WZTA-AM,MF 12n-3p
WBCK-FM,MF 12n-3p
WKMI-AM,MF 12n-3p
WOOD-AM,MF 12n-3p
WOOD-FM,MF 12n-3p
KLBJ-AM,MF 11a-2p
KCLI-AM,MF 11a-2p
KCLI-FM,MF 11a-2p
KGWA-AM,MF 11a-2p
KMZE-FM,MF 11a-2p
KTOK-AM,MF 11a-2p
KXNT-AM,MF 9a-12n
KXNT-FM,MF 9a-12n
WEEO-FM,MF 12n-3p
WHP-AM,MF 12n-3p
WIEZ-AM,MF 12n-3p
WLAN-AM,MF 12n-3p
WSBA-AM,MF 12n-3p
WAAX-AM,MF 12n-3p
WERC-AM,MF 11a-2p
WERC-FM,MF 11a-2p
WKUL-FM,MF 11a-2p
WRTR-FM,MF 11a-2p
WESR-AM,MF 12n-3p
WNIS-AM,MF 12n-3p
WOBX-FM,MF 12n-3p
WPTI-FM,MF 12n-3p
KBIM-AM,MF 10a-1p
KDGO-AM,MF 10a-1p
KENN-AM,MF 10a-1p
KINN-AM,MF 10a-1p
KKOB-AM,MF 10a-1p
KNFT-AM,MF 10a-1p
KRUI-AM,MF 10a-1p
KSVP-AM,MF 10a-1p
KVFC-AM,MF 10a-1p
KYKK-AM,MF 10a-1p
WFOY-AM,MF 12n-3p
WGIG-AM,MF 12n-3p
WJTK-FM,MF 12n-3p
WOKV-AM,MF 12n-3p
WOKV-FM,MF 12n-3p
WHAS-AM,MF 12n-3p
WREC-AM,MF 11a-2p
WRNO-FM,MF 11a-2p
WBEN-AM,MF 12n-3p
WLKW-FM,MF 12n-3p
WVTT-FM,MF 12n-3p
WXMT-F3,MF 12n-3p
WHJJ-AM,MF 12n-3p
WBZU-AM,MF 12n-3p
WILK-AM,MF 12n-3p
WILK-FM,MF 12n-3p
WKZN-AM,MF 12n-3p
WMLP-AM,MF 12n-3p
WPPA-AM,MF 12n-3p
WPSN-AM,MF 12n-3p
WRAK-AM,MF 12n-3p
WRKK-AM,MF 12n-3p
KALZ-FM,MF 9a-12n
KRZR-AM,MF 9a-12n
KYOS-AM,MF 9a-12n
KARN-FM,MF 11a-2p
KAWW-AM,MF 11a-2p
KCAB-AM,MF 11a-2p
KELD-FM,MF 11a-2p
KJMT-FM,MF 11a-2p
KRZS-AM,MF 11a-2p
KSMD-FM,MF 11a-2p
KZNG-AM,MF 11a-2p
WRVA-AM,MF 12n-3p
WGY-AM,MF 12n-3p
